"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2021","1,527.07","1,543.06","1,547.70","1,527.07","-","-1.66%"
"Mar 16, 2021","1,552.81","1,555.69","1,555.74","1,531.49","-","0.57%"
"Mar 15, 2021","1,543.99","1,529.62","1,550.49","1,528.29","-","1.61%"
"Mar 12, 2021","1,519.50","1,504.84","1,519.69","1,500.50","-","0.95%"
"Mar 11, 2021","1,505.22","1,489.11","1,505.22","1,483.58","-","1.73%"
"Mar 10, 2021","1,479.57","1,479.41","1,498.32","1,472.73","-","-0.15%"
"Mar 09, 2021","1,481.85","1,450.71","1,489.68","1,448.64","-","2.38%"
"Mar 05, 2021","1,447.46","1,432.87","1,458.05","1,423.89","-","-0.50%"
"Mar 04, 2021","1,454.67","1,451.65","1,462.83","1,435.17","-","0.07%"
"Mar 03, 2021","1,453.61","1,465.95","1,477.98","1,450.65","-","0.08%"
"Mar 02, 2021","1,452.48","1,428.08","1,458.50","1,424.98","-","0.66%"
"Mar 01, 2021","1,443.02","1,422.57","1,445.17","1,419.57","-","2.20%"
"Feb 26, 2021","1,411.93","1,414.05","1,435.66","1,401.78","-","-2.65%"
"Feb 25, 2021","1,450.39","1,461.85","1,471.06","1,443.21","-","0.31%"
"Feb 24, 2021","1,445.91","1,452.36","1,468.28","1,445.10","-","-0.65%"
"Feb 22, 2021","1,455.33","1,466.66","1,470.35","1,434.84","-","-0.72%"
"Feb 20, 2021","1,465.82","1,468.48","1,469.59","1,462.92","-","-0.44%"
"Feb 19, 2021","1,472.33","1,448.60","1,474.20","1,440.40","-","1.77%"
"Feb 18, 2021","1,446.70","1,475.00","1,478.99","1,443.69","-","-1.07%"
"Feb 17, 2021","1,462.35","1,493.48","1,499.14","1,457.39","-","-2.16%"
"Feb 16, 2021","1,494.58","1,504.63","1,508.95","1,483.10","-","-0.12%"
"Feb 15, 2021","1,496.40","1,479.53","1,498.10","1,479.53","-","2.35%"
"Feb 12, 2021","1,461.99","1,456.27","1,461.99","1,420.36","-","0.05%"
"Feb 11, 2021","1,461.33","1,450.83","1,462.01","1,447.97","-","0.90%"
"Feb 10, 2021","1,448.31","1,465.79","1,471.89","1,447.88","-","-0.66%"
"Feb 09, 2021","1,457.87","1,467.41","1,474.79","1,456.26","-","-0.30%"
"Feb 08, 2021","1,462.22","1,440.22","1,462.80","1,440.22","-","2.13%"
"Feb 05, 2021","1,431.76","1,417.26","1,431.76","1,417.26","-","2.07%"
"Feb 04, 2021","1,402.71","1,392.23","1,413.31","1,389.97","-","1.13%"
"Feb 03, 2021","1,387.00","1,385.32","1,398.94","1,377.16","-","-0.86%"
"Feb 02, 2021","1,398.99","1,375.46","1,406.62","1,375.46","-","2.57%"
"Feb 01, 2021","1,363.96","1,367.53","1,378.97","1,362.64","-","-0.27%"
"Jan 29, 2021","1,367.64","1,383.16","1,383.16","1,361.73","-","-1.23%"
"Jan 28, 2021","1,384.64","1,378.58","1,391.02","1,365.13","-","-0.60%"
"Jan 27, 2021","1,393.02","1,425.59","1,431.21","1,382.21","-","-2.10%"
"Jan 26, 2021","1,422.95","1,415.26","1,425.81","1,403.34","-","0.77%"
"Jan 25, 2021","1,412.02","1,422.30","1,444.44","1,409.47","-","-0.44%"
"Jan 22, 2021","1,418.29","1,452.51","1,452.51","1,413.12","-","-3.11%"
"Jan 21, 2021","1,463.84","1,491.79","1,500.03","1,452.80","-","-1.55%"
"Jan 20, 2021","1,486.90","1,476.75","1,494.97","1,475.65","-","1.11%"
"Jan 19, 2021","1,470.63","1,480.80","1,492.72","1,466.66","-","-0.29%"
"Jan 18, 2021","1,474.86","1,472.00","1,477.68","1,456.73","-","0.04%"
"Jan 15, 2021","1,474.28","1,499.87","1,507.06","1,470.92","-","-1.75%"
"Jan 14, 2021","1,500.58","1,478.41","1,505.57","1,466.25","-","0.93%"
"Jan 13, 2021","1,486.77","1,494.18","1,503.21","1,473.29","-","0.12%"
"Jan 12, 2021","1,484.96","1,474.34","1,496.04","1,467.96","-","1.25%"
"Jan 11, 2021","1,466.56","1,467.85","1,488.56","1,450.55","-","0.00%"
"Jan 08, 2021","1,466.50","1,444.76","1,481.84","1,444.76","-","2.07%"
"Jan 06, 2021","1,436.71","1,435.51","1,446.21","1,424.87","-","0.74%"
"Jan 05, 2021","1,426.11","1,410.89","1,428.70","1,386.56","-","0.09%"
"Jan 04, 2021","1,424.84","1,399.64","1,439.61","1,398.82","-","2.69%"
"Dec 30, 2020","1,387.46","1,393.96","1,403.88","1,382.88","-","-0.79%"
"Dec 29, 2020","1,398.48","1,396.52","1,405.90","1,395.08","-","0.52%"
"Dec 28, 2020","1,391.31","1,379.64","1,396.97","1,379.64","-","0.94%"
"Dec 25, 2020","1,378.36","1,379.84","1,384.06","1,376.62","-","0.00%"
"Dec 24, 2020","1,378.33","1,365.31","1,378.33","1,358.22","-","0.85%"
"Dec 23, 2020","1,366.76","1,338.20","1,367.27","1,335.76","-","1.13%"
"Dec 22, 2020","1,351.43","1,339.03","1,359.91","1,327.89","-","1.16%"
"Dec 21, 2020","1,335.93","1,394.52","1,394.52","1,326.65","-","-4.75%"
"Dec 18, 2020","1,402.50","1,418.81","1,419.41","1,386.34","-","-1.18%"
"Dec 17, 2020","1,419.22","1,407.69","1,434.65","1,407.69","-","1.37%"
"Dec 16, 2020","1,400.05","1,399.42","1,407.86","1,388.15","-","0.69%"
"Dec 15, 2020","1,390.46","1,387.15","1,409.26","1,382.95","-","-0.55%"
"Dec 14, 2020","1,398.12","1,421.88","1,432.73","1,397.49","-","-1.04%"
"Dec 11, 2020","1,412.88","1,404.78","1,413.56","1,395.77","-","0.58%"
"Dec 10, 2020","1,404.68","1,362.07","1,404.68","1,360.06","-","2.35%"
"Dec 09, 2020","1,372.47","1,364.46","1,382.75","1,364.46","-","0.57%"
"Dec 08, 2020","1,364.66","1,362.32","1,375.75","1,354.75","-","-0.31%"
"Dec 07, 2020","1,368.86","1,352.22","1,368.86","1,341.40","-","0.85%"
"Dec 04, 2020","1,357.39","1,342.06","1,358.63","1,342.06","-","1.34%"
"Dec 03, 2020","1,339.41","1,336.84","1,339.41","1,321.42","-","0.30%"
"Dec 02, 2020","1,335.44","1,308.61","1,335.44","1,305.87","-","1.86%"
"Dec 01, 2020","1,311.05","1,283.56","1,312.69","1,283.56","-","2.27%"
"Nov 30, 2020","1,281.97","1,300.14","1,300.14","1,281.00","-","-1.57%"
"Nov 27, 2020","1,302.43","1,303.47","1,306.01","1,291.17","-","-0.36%"
"Nov 26, 2020","1,307.14","1,310.04","1,316.57","1,298.60","-","0.41%"
"Nov 25, 2020","1,301.83","1,298.86","1,309.54","1,287.36","-","1.14%"
"Nov 24, 2020","1,287.12","1,270.34","1,288.71","1,265.88","-","2.41%"
"Nov 23, 2020","1,256.81","1,267.92","1,287.36","1,255.80","-","-0.47%"
"Nov 20, 2020","1,262.69","1,263.65","1,269.02","1,256.21","-","0.30%"
"Nov 19, 2020","1,258.91","1,270.45","1,270.45","1,251.53","-","-1.40%"
"Nov 18, 2020","1,276.75","1,258.77","1,282.07","1,253.23","-","1.45%"
"Nov 17, 2020","1,258.46","1,274.26","1,276.81","1,246.71","-","-0.80%"
"Nov 16, 2020","1,268.61","1,243.10","1,268.61","1,243.10","-","3.33%"
"Nov 13, 2020","1,227.78","1,224.72","1,233.84","1,218.52","-","-0.86%"
"Nov 12, 2020","1,238.45","1,224.64","1,239.78","1,219.15","-","0.38%"
"Nov 11, 2020","1,233.81","1,236.14","1,254.16","1,231.47","-","0.08%"
"Nov 10, 2020","1,232.87","1,224.45","1,240.78","1,212.61","-","-0.28%"
"Nov 09, 2020","1,236.30","1,187.84","1,242.24","1,187.32","-","4.92%"
"Nov 06, 2020","1,178.28","1,163.85","1,178.28","1,151.74","-","0.64%"
"Nov 05, 2020","1,170.74","1,121.24","1,172.14","1,121.24","-","5.65%"
"Nov 03, 2020","1,108.15","1,077.20","1,109.71","1,077.20","-","3.63%"
"Nov 02, 2020","1,069.33","1,062.09","1,075.12","1,039.51","-","0.26%"
"Oct 30, 2020","1,066.60","1,078.02","1,078.37","1,056.02","-","-1.15%"
"Oct 29, 2020","1,078.96","1,075.40","1,091.43","1,062.70","-","0.06%"
"Oct 28, 2020","1,078.29","1,124.23","1,124.23","1,070.68","-","-4.69%"
"Oct 27, 2020","1,131.36","1,146.56","1,151.66","1,126.60","-","-1.82%"
"Oct 26, 2020","1,152.33","1,163.89","1,165.58","1,151.45","-","-1.01%"
"Oct 23, 2020","1,164.06","1,154.25","1,166.51","1,149.13","-","0.76%"
"Oct 22, 2020","1,155.24","1,143.17","1,155.39","1,137.14","-","1.03%"
"Oct 21, 2020","1,143.42","1,145.30","1,151.94","1,136.76","-","0.24%"
"Oct 20, 2020","1,140.69","1,130.26","1,143.82","1,123.08","-","0.49%"
"Oct 19, 2020","1,135.12","1,131.43","1,137.07","1,128.80","-","0.20%"
"Oct 16, 2020","1,132.80","1,137.25","1,138.87","1,121.29","-","0.05%"
"Oct 15, 2020","1,132.29","1,156.18","1,156.44","1,128.06","-","-2.41%"
"Oct 14, 2020","1,160.30","1,157.02","1,164.67","1,151.51","-","0.36%"
"Oct 13, 2020","1,156.11","1,162.18","1,169.80","1,151.18","-","-0.58%"
"Oct 12, 2020","1,162.91","1,163.09","1,169.93","1,155.85","-","-0.12%"
"Oct 09, 2020","1,164.34","1,157.38","1,165.69","1,147.95","-","0.48%"
"Oct 08, 2020","1,158.82","1,150.83","1,158.82","1,148.00","-","1.30%"
"Oct 07, 2020","1,143.95","1,157.93","1,164.69","1,140.53","-","-2.11%"
"Oct 06, 2020","1,168.56","1,163.75","1,176.58","1,157.41","-","0.92%"
"Oct 05, 2020","1,157.86","1,152.56","1,160.54","1,144.04","-","0.85%"
"Oct 02, 2020","1,148.07","1,157.17","1,157.17","1,134.01","-","-2.25%"
"Oct 01, 2020","1,174.49","1,181.29","1,191.19","1,170.72","-","-0.34%"
"Sep 30, 2020","1,178.51","1,158.75","1,182.96","1,152.94","-","1.98%"
"Sep 29, 2020","1,155.67","1,169.84","1,172.76","1,138.95","-","-0.96%"
"Sep 28, 2020","1,166.86","1,171.87","1,178.65","1,163.08","-","0.19%"
"Sep 25, 2020","1,164.68","1,189.40","1,193.58","1,160.28","-","-2.04%"
"Sep 24, 2020","1,188.98","1,187.48","1,192.67","1,172.94","-","-0.57%"
"Sep 23, 2020","1,195.77","1,214.29","1,225.06","1,195.77","-","0.23%"
"Sep 22, 2020","1,193.06","1,189.37","1,209.03","1,182.04","-","1.00%"
"Sep 21, 2020","1,181.24","1,225.32","1,225.99","1,176.63","-","-3.86%"
"Sep 18, 2020","1,228.64","1,246.67","1,250.13","1,226.48","-","-1.18%"
"Sep 17, 2020","1,243.29","1,238.42","1,246.02","1,232.82","-","-0.68%"
"Sep 16, 2020","1,251.86","1,252.38","1,257.92","1,243.60","-","-0.15%"
"Sep 15, 2020","1,253.68","1,229.16","1,253.68","1,227.94","-","2.05%"
"Sep 14, 2020","1,228.48","1,224.14","1,239.42","1,218.41","-","0.44%"
"Sep 11, 2020","1,223.05","1,210.12","1,225.59","1,207.27","-","0.53%"
"Sep 10, 2020","1,216.59","1,207.98","1,220.27","1,191.89","-","1.27%"
"Sep 09, 2020","1,201.34","1,189.69","1,206.04","1,187.98","-","1.00%"
"Sep 08, 2020","1,189.47","1,221.35","1,225.16","1,183.78","-","-2.38%"
"Sep 07, 2020","1,218.52","1,223.75","1,230.02","1,210.21","-","-0.12%"
"Sep 04, 2020","1,220.01","1,222.21","1,236.65","1,214.72","-","-0.26%"
"Sep 03, 2020","1,223.21","1,234.42","1,241.28","1,216.93","-","-0.94%"
"Sep 02, 2020","1,234.82","1,280.08","1,283.69","1,229.50","-","-3.11%"
"Sep 01, 2020","1,274.50","1,265.70","1,282.24","1,264.85","-","1.26%"
"Aug 31, 2020","1,258.60","1,274.05","1,286.07","1,255.34","-","-0.55%"
"Aug 28, 2020","1,265.62","1,267.38","1,271.32","1,254.83","-","0.06%"
