iter	RMSE
0	2.251152741
1	1.265398766
2	1.016753011
3	0.9433792394
4	0.857174873
5	0.8121141171
6	0.7668459992
7	0.7462882575
8	0.7140593343
9	0.704442523
10	0.6864265747
11	0.6669494219
12	0.648940537
13	0.5975327576
14	0.5803165943
15	0.5472303881
16	0.5199551623
17	0.5013125027
18	0.4786077584
19	0.4703002479
20	0.4459946389
21	0.4295361717
22	0.4244991573
23	0.4189886822
24	0.4101781412
25	0.4032078567
26	0.3900203973
27	0.3788040939
28	0.3657085864
29	0.3538474848
30	0.3478608206
31	0.3381307162
32	0.3273021791
33	0.3198369571
34	0.3085192645
35	0.3004881602
36	0.2888986714
37	0.2816549799
38	0.2724758492
39	0.2691814852
40	0.264950343
41	0.2534300324
42	0.2471393473
43	0.2418583861
44	0.2364905599
45	0.2290863102
46	0.225341371
47	0.2204889248
48	0.2130662066
49	0.211395988
50	0.209376419
51	0.2062772104
52	0.200938104
53	0.193795302
54	0.1888753775
55	0.1845186137
56	0.1786935645
57	0.1736434867
58	0.1698251073
59	0.1649229516
60	0.1611499622
61	0.1558224689
62	0.151369066
63	0.1474940185
64	0.1459098898
65	0.1417212903
66	0.1381764147
67	0.1354825699
68	0.1318526709
69	0.1280752637
70	0.1268716017
71	0.1244982416
72	0.1212606087
73	0.1205562339
74	0.1199131553
75	0.1193737695
76	0.116746774
77	0.1165999338
78	0.1140732012
79	0.110899322
80	0.107518575
81	0.1053511744
82	0.103915753
83	0.1018946215
84	0.09868589962
85	0.09603537416
86	0.0932983967
87	0.09089976299
88	0.08996371777
89	0.08646351556
90	0.08485529266
91	0.08231135756
92	0.0808824705
93	0.07830923645
94	0.07632641121
95	0.07572105461
96	0.07485608109
97	0.07227701057
98	0.07189081386
99	0.06994220106
