iter	Passed	Remaining
0	11	1121
1	20	1006
2	30	995
3	40	962
4	49	933
5	58	918
6	68	912
7	83	955
8	93	944
9	102	924
10	112	908
11	124	916
12	133	896
13	143	880
14	152	863
15	161	850
16	171	835
17	180	821
18	189	808
19	198	795
20	208	782
21	217	772
22	227	759
23	237	753
24	248	746
25	258	735
26	270	732
27	280	721
28	291	712
29	303	708
30	312	696
31	322	684
32	331	672
33	340	660
34	350	650
35	359	639
36	374	636
37	385	628
38	396	619
39	405	608
40	414	595
41	423	584
42	432	573
43	442	563
44	452	552
45	461	541
46	470	530
47	480	520
48	491	511
49	501	501
50	513	493
51	525	484
52	535	474
53	544	463
54	554	453
55	563	442
56	572	431
57	583	422
58	593	412
59	602	401
60	611	391
61	620	380
62	630	370
63	640	360
64	651	350
65	661	340
66	672	331
67	682	321
68	691	310
69	700	300
70	710	290
71	720	280
72	729	269
73	738	259
74	747	249
75	757	239
76	767	229
77	776	218
78	785	208
79	794	198
80	804	188
81	813	178
82	822	168
83	831	158
84	840	148
85	850	138
86	859	128
87	868	118
88	878	108
89	886	98
90	895	88
91	905	78
92	916	68
93	926	59
94	935	49
95	945	39
96	954	29
97	963	19
98	972	9
99	982	0
